eventID,orig_last_modified,time_value,time_value_ms,quality_standardError,latitude_value,longitude_value,depth_value, absolute_depth_value, magnitude_value_P,quality_XellipseError,quality_YellipseError,theta_ellipseError,station_coda,coda_value, quality_associatedPhaseCount,quality_associated_SPhaseCount,  quality_azimuthalGap,quality_MinEpicDist,quality_MinHipoDist, creationInfo_agencyID
2010021400.39P,2010-02-18T11:55:36,2010-02-14 12:39:14,   970,0.550,  -1.3196, -77.7903, 217.79,-214.49,   4.30,   2.47,   3.25,   10.13,   vc1,   280,    43,    6, 211.72,  69.75, 228.69,    EPN
2010021423.48P,2010-02-18T13:56:26,2010-02-14 11:48:01,   950,0.269,  -1.0143, -79.3170, 133.45,-130.15,   3.50,   4.35,   8.89,  157.94,   vc1,    80,     8,    1, 329.73, 107.72, 171.50,    EPN
2010021603.29P,2010-02-19T11:01:18,2010-02-16 03:29:10,   310,0.524,  -0.6765, -79.7688, 106.42,-103.12,   3.50,   4.77,  11.65,  168.35,   vc1,    70,    15,    5, 303.29, 139.13, 175.17,    EPN
2010021703.08P,2010-02-19T11:05:34,2010-02-17 03:08:08,   970,0.451,  -1.1241, -79.3927,  45.07, -41.77,   3.50,   4.01,   6.20,   16.94,   vc1,    80,    13,    3, 332.26, 112.74, 121.42,    EPN
2010021703.28P,2010-02-19T11:14:10,2010-02-17 03:27:51,    90,0.304,  -2.7545, -78.4155,  37.47, -34.17,   3.60,   3.89,  11.30,  176.44,   vc1,    80,    13,    1, 348.98, 138.58, 143.55,    EPN
2010021718.54P,2010-02-19T11:38:20,2010-02-17 06:53:44,   600,0.330,  -3.9207, -79.4996,  98.80, -95.50,   4.30,   3.53,   7.06,   95.71,   vc1,   180,    16,    1, 306.33, 234.86, 254.80,    EPN
2010021911.37P,2010-02-19T12:05:48,2010-02-19 11:37:26,   230,0.294,  -1.1077, -79.5365, 103.48,-100.18,   4.60,   0.94,   1.67,  155.72,   vc1,   400,    28,    3, 191.06, 108.42, 149.88,    EPN
2010022100.43P,2010-02-24T13:42:58,2010-02-21 12:43:07,   730,0.514,  -0.7461, -79.7304,  37.15, -33.85,   4.10,   1.31,   1.94,   80.49,   vc1,   200,    21,    3, 142.99,  72.50,  81.47,    EPN
2010022107.47P,2010-02-24T13:49:28,2010-02-21 07:47:21,     0,0.692,  -0.5278, -80.3715,  12.00,  -8.70,   3.80,   5.27,   9.57,   51.07,   vc1,   100,     9,    1, 245.86,  27.75,  30.23,    EPN
2010022120.55P,2010-02-24T14:01:16,2010-02-21 08:54:41,   880,0.548,  -2.7403, -79.0325,  44.32, -41.02,   4.00,   3.64,   5.61,  141.01,   vc1,   150,    11,    2, 309.55, 107.22, 116.02,    EPN
2010022212.03P,2010-02-24T17:42:10,2010-02-22 12:02:57,   860,0.580,  -1.3729, -78.0562,   7.20,  -3.90,   3.50,   1.22,   2.17,  179.97,   vc1,    80,    24,    5, 170.62,  39.62,  40.27,    EPN
2010022217.56P,2010-02-24T17:47:53,2010-02-22 05:56:03,   970,0.758,  -1.4549, -78.9980, 143.56,-140.26,   3.60,   5.05,   5.90,  162.37,   vc1,   100,    14,    2, 208.09,  65.65, 157.86,    EPN
2010022300.36P,2010-02-24T17:51:04,2010-02-23 12:36:35,    80,0.233,  -0.9459, -79.2087, 116.41,-113.11,   3.70,   2.60,   6.31,  164.18,   vc1,   110,    12,    2, 323.77,  86.75, 145.18,    EPN
2010022315.58P,2010-02-24T18:00:41,2010-02-23 03:58:28,   650,0.788,  -2.6965, -77.9001,  12.00,  -8.70,   3.80,   4.20,  18.22,  149.68,   vc1,   110,    16,    4, 327.82,  59.23,  60.43,    EPN
2010022319.59P,2010-02-24T18:11:01,2010-02-23 07:59:03,   160,0.240,  -1.1237, -78.2918,   9.93,  -6.63,   3.50,   0.26,   3.28,    2.82,   vc1,    90,    24,    4, 100.06,  12.68,  16.11,    EPN
2010022410.50P,2010-02-25T10:23:55,2010-02-24 10:50:29,   350,0.471,  -2.1824, -80.0106,  12.00,  -8.70,   3.80,   1.57,   7.69,   80.02,   vc1,   100,    28,    8, 327.94, 170.75, 171.17,    EPN
2010022414.32P,2010-02-24T18:30:12,2010-02-24 02:31:32,   340,0.643,  -2.4178, -81.0186,   6.00,  -2.70,   4.30,   3.86,   9.96,  164.78,   vc1,   200,    31,    1, 310.63, 195.51, 195.60,    EPN
2010022503.34P,2010-02-25T10:56:31,2010-02-25 03:34:22,   850,0.885,  -2.5950, -80.6500,  10.00,  -6.70,   4.50,   3.10,  12.37,  139.17,   vc1,   250,    37,    7, 286.28, 204.14, 204.39,    EPN
2010022620.06P,2010-03-02T06:26:11,2010-02-26 08:06:15,   270,0.361,  -1.5470, -78.1687, 169.05,-165.75,   4.60,   1.88,   2.33,   23.67,   vc1,   450,    37,    2, 161.89,  29.34, 171.58,    EPN
2010022810.26P,2010-03-02T12:19:38,2010-02-28 10:26:49,   820,0.970,  -1.0866, -80.5603,  43.16, -39.86,   5.10,   3.54,   5.75,   27.58,   vc1,   800,    37,    4, 149.26,  39.66,  58.61,    EPN
2010030114.45P,2010-03-10T10:39:27,2010-03-01 02:44:32,   720,0.314,   0.9051, -80.0281,  12.00,  -8.70,   3.50,   2.88,  11.13,  138.38,   vc1,    60,     6,    1, 337.58, 197.13, 197.49,    EPN
2010030205.32P,2010-03-10T10:48:29,2010-03-02 05:32:01,   950,0.622,  -0.5947, -78.2696,  12.00,  -8.70,   3.80,   0.87,   1.82,   19.79,   vc1,   140,    26,    3, 137.54,  15.73,  19.78,    EPN
2010030311.11P,2010-03-03T11:10:06,2010-03-03 11:11:02,   310,0.447,  -1.0956, -78.4401,  14.92, -11.62,   4.20,   0.45,   1.41,    4.31,   vc1,   250,    46,    7,  78.23,   7.33,  16.63,    EPN
2010030423.31P,2010-03-10T11:41:12,2010-03-04 11:31:03,   920,0.662,  -0.7245, -79.8349,  26.38, -23.08,   3.60,   2.14,   3.68,  174.59,   vc1,    90,    25,   11, 305.36, 147.95, 150.28,    EPN
2010030506.12P,2010-03-05T08:09:33,2010-03-05 06:12:29,    90,0.425,  -1.5130, -78.0949,  14.82, -11.52,   4.00,   1.24,   2.00,   95.20,   vc1,   180,    50,   15, 252.77,  35.82,  38.76,    EPN
2010030506.47P,2010-03-10T11:48:40,2010-03-05 06:47:10,   570,0.612,  -0.8172, -79.8293,  33.57, -30.27,   3.60,   3.64,   5.82,   54.74,   vc1,    80,    14,    5, 337.19, 151.64, 155.31,    EPN
2010030511.42P,2010-03-05T08:10:34,2010-03-05 11:42:41,   660,0.595,  -0.9136, -78.1580,  12.93,  -9.63,   3.70,   0.65,   1.59,  176.06,   vc1,   120,    42,   13, 148.86,  29.97,  32.64,    EPN
2010030523.00P,2010-03-10T11:54:06,2010-03-05 11:00:23,   240,0.326,   0.0240, -78.3434,   9.41,  -6.11,   3.90,   0.47,   0.69,   26.99,   vc1,   150,    29,    6,  98.98,  26.33,  27.97,    EPN
2010030806.35P,2010-03-11T11:53:28,2010-03-08 06:35:29,   920,0.217,  -1.0867, -78.6284,  37.27, -33.97,   3.60,   0.50,   4.71,    1.69,   vc1,   100,    16,    2, 216.50,  27.17,  46.12,    EPN
2010030907.53P,2010-03-11T11:07:19,2010-03-09 07:53:30,   240,0.809,  -1.6457, -80.7441,  20.05, -16.75,   3.90,   5.02,   6.51,  119.75,   vc1,   110,    20,    1, 232.78,  56.18,  59.65,    EPN
2010031108.28P,2010-03-11T13:31:16,2010-03-11 08:28:29,   710,0.696,  -0.8492, -79.2987,  14.82, -11.52,   3.60,   1.54,   2.49,  167.30,   vc1,   100,    27,    5, 185.47,  74.99,  76.44,    EPN
2010031117.29P,2010-03-12T11:55:19,2010-03-11 05:29:20,   350,0.356,   0.3866, -78.6282,  12.37,  -9.07,   3.50,   1.15,   3.32,   55.10,   vc1,    80,    13,    2, 298.44,  26.16,  28.94,    EPN
